,dateTime,level,seconds,start_time,end_time
208,2015-11-09T04:32:00.000,restless,60,2015-11-09 04:32:00,2015-11-09 04:33:00
209,2015-11-09T04:33:00.000,asleep,180,2015-11-09 04:33:00,2015-11-09 04:36:00
210,2015-11-09T04:36:00.000,restless,120,2015-11-09 04:36:00,2015-11-09 04:38:00
211,2015-11-09T04:38:00.000,asleep,120,2015-11-09 04:38:00,2015-11-09 04:40:00
212,2015-11-09T04:40:00.000,restless,60,2015-11-09 04:40:00,2015-11-09 04:41:00
213,2015-11-09T04:41:00.000,asleep,600,2015-11-09 04:41:00,2015-11-09 04:51:00
214,2015-11-09T04:51:00.000,restless,60,2015-11-09 04:51:00,2015-11-09 04:52:00
215,2015-11-09T04:52:00.000,asleep,780,2015-11-09 04:52:00,2015-11-09 05:05:00
216,2015-11-09T05:05:00.000,restless,480,2015-11-09 05:05:00,2015-11-09 05:13:00
217,2015-11-09T05:13:00.000,asleep,5580,2015-11-09 05:13:00,2015-11-09 06:46:00
218,2015-11-08T00:00:00.000,awake,60,2015-11-08 00:00:00,2015-11-08 00:01:00
219,2015-11-08T00:01:00.000,restless,60,2015-11-08 00:01:00,2015-11-08 00:02:00
220,2015-11-08T00:02:00.000,asleep,1200,2015-11-08 00:02:00,2015-11-08 00:22:00
221,2015-11-08T00:22:00.000,restless,120,2015-11-08 00:22:00,2015-11-08 00:24:00
222,2015-11-08T00:24:00.000,asleep,120,2015-11-08 00:24:00,2015-11-08 00:26:00
223,2015-11-08T00:26:00.000,restless,120,2015-11-08 00:26:00,2015-11-08 00:28:00
224,2015-11-08T00:28:00.000,asleep,1500,2015-11-08 00:28:00,2015-11-08 00:53:00
225,2015-11-08T00:53:00.000,restless,120,2015-11-08 00:53:00,2015-11-08 00:55:00
226,2015-11-08T00:55:00.000,asleep,420,2015-11-08 00:55:00,2015-11-08 01:02:00
227,2015-11-08T01:02:00.000,restless,60,2015-11-08 01:02:00,2015-11-08 01:03:00
228,2015-11-08T01:03:00.000,asleep,480,2015-11-08 01:03:00,2015-11-08 01:11:00
229,2015-11-08T01:11:00.000,restless,120,2015-11-08 01:11:00,2015-11-08 01:13:00
230,2015-11-08T01:13:00.000,asleep,60,2015-11-08 01:13:00,2015-11-08 01:14:00
231,2015-11-08T01:14:00.000,restless,180,2015-11-08 01:14:00,2015-11-08 01:17:00
232,2015-11-08T01:17:00.000,asleep,1380,2015-11-08 01:17:00,2015-11-08 01:40:00
233,2015-11-08T01:40:00.000,restless,60,2015-11-08 01:40:00,2015-11-08 01:41:00
234,2015-11-08T01:41:00.000,asleep,2820,2015-11-08 01:41:00,2015-11-08 02:28:00
235,2015-11-08T02:28:00.000,restless,60,2015-11-08 02:28:00,2015-11-08 02:29:00
236,2015-11-08T02:29:00.000,asleep,540,2015-11-08 02:29:00,2015-11-08 02:38:00
237,2015-11-08T02:38:00.000,restless,180,2015-11-08 02:38:00,2015-11-08 02:41:00
238,2015-11-08T02:41:00.000,asleep,60,2015-11-08 02:41:00,2015-11-08 02:42:00
239,2015-11-08T02:42:00.000,restless,60,2015-11-08 02:42:00,2015-11-08 02:43:00
240,2015-11-08T02:43:00.000,asleep,60,2015-11-08 02:43:00,2015-11-08 02:44:00
241,2015-11-08T02:44:00.000,restless,60,2015-11-08 02:44:00,2015-11-08 02:45:00
242,2015-11-08T02:45:00.000,asleep,120,2015-11-08 02:45:00,2015-11-08 02:47:00
243,2015-11-08T02:47:00.000,restless,60,2015-11-08 02:47:00,2015-11-08 02:48:00
244,2015-11-08T02:48:00.000,asleep,780,2015-11-08 02:48:00,2015-11-08 03:01:00
245,2015-11-08T03:01:00.000,restless,60,2015-11-08 03:01:00,2015-11-08 03:02:00
246,2015-11-08T03:02:00.000,asleep,180,2015-11-08 03:02:00,2015-11-08 03:05:00
247,2015-11-08T03:05:00.000,restless,60,2015-11-08 03:05:00,2015-11-08 03:06:00
248,2015-11-08T03:06:00.000,asleep,300,2015-11-08 03:06:00,2015-11-08 03:11:00
249,2015-11-08T03:11:00.000,restless,60,2015-11-08 03:11:00,2015-11-08 03:12:00
250,2015-11-08T03:12:00.000,asleep,2760,2015-11-08 03:12:00,2015-11-08 03:58:00
251,2015-11-08T03:58:00.000,restless,60,2015-11-08 03:58:00,2015-11-08 03:59:00
252,2015-11-08T03:59:00.000,asleep,1320,2015-11-08 03:59:00,2015-11-08 04:21:00
253,2015-11-08T04:21:00.000,restless,60,2015-11-08 04:21:00,2015-11-08 04:22:00
254,2015-11-08T04:22:00.000,asleep,1440,2015-11-08 04:22:00,2015-11-08 04:46:00
255,2015-11-08T04:46:00.000,restless,120,2015-11-08 04:46:00,2015-11-08 04:48:00
256,2015-11-08T04:48:00.000,asleep,120,2015-11-08 04:48:00,2015-11-08 04:50:00
257,2015-11-08T04:50:00.000,restless,60,2015-11-08 04:50:00,2015-11-08 04:51:00
258,2015-11-08T04:51:00.000,asleep,720,2015-11-08 04:51:00,2015-11-08 05:03:00
259,2015-11-08T05:03:00.000,restless,180,2015-11-08 05:03:00,2015-11-08 05:06:00
260,2015-11-08T05:06:00.000,asleep,1380,2015-11-08 05:06:00,2015-11-08 05:29:00
261,2015-11-08T05:29:00.000,restless,60,2015-11-08 05:29:00,2015-11-08 05:30:00
262,2015-11-08T05:30:00.000,asleep,60,2015-11-08 05:30:00,2015-11-08 05:31:00
263,2015-11-08T05:31:00.000,restless,60,2015-11-08 05:31:00,2015-11-08 05:32:00
264,2015-11-08T05:32:00.000,asleep,3480,2015-11-08 05:32:00,2015-11-08 06:30:00
265,2015-11-08T06:30:00.000,restless,60,2015-11-08 06:30:00,2015-11-08 06:31:00
266,2015-11-08T06:31:00.000,asleep,600,2015-11-08 06:31:00,2015-11-08 06:41:00
267,2015-11-08T06:41:00.000,restless,60,2015-11-08 06:41:00,2015-11-08 06:42:00
268,2015-11-08T06:42:00.000,asleep,60,2015-11-08 06:42:00,2015-11-08 06:43:00
269,2015-11-08T06:43:00.000,restless,60,2015-11-08 06:43:00,2015-11-08 06:44:00
270,2015-11-08T06:44:00.000,asleep,60,2015-11-08 06:44:00,2015-11-08 06:45:00
271,2015-11-08T06:45:00.000,restless,60,2015-11-08 06:45:00,2015-11-08 06:46:00
272,2015-11-08T06:46:00.000,asleep,1500,2015-11-08 06:46:00,2015-11-08 07:11:00
273,2015-11-08T07:11:00.000,restless,60,2015-11-08 07:11:00,2015-11-08 07:12:00
274,2015-11-08T07:12:00.000,asleep,2340,2015-11-08 07:12:00,2015-11-08 07:51:00
275,2015-11-08T07:51:00.000,restless,60,2015-11-08 07:51:00,2015-11-08 07:52:00
276,2015-11-08T07:52:00.000,asleep,3000,2015-11-08 07:52:00,2015-11-08 08:42:00
277,2015-11-08T08:42:00.000,restless,60,2015-11-08 08:42:00,2015-11-08 08:43:00
278,2015-11-08T08:43:00.000,asleep,60,2015-11-08 08:43:00,2015-11-08 08:44:00
279,2015-11-08T08:44:00.000,restless,180,2015-11-08 08:44:00,2015-11-08 08:47:00
280,2015-11-08T08:47:00.000,asleep,480,2015-11-08 08:47:00,2015-11-08 08:55:00
281,2015-11-06T23:36:00.000,awake,120,2015-11-06 23:36:00,2015-11-06 23:38:00
282,2015-11-06T23:38:00.000,asleep,60,2015-11-06 23:38:00,2015-11-06 23:39:00
283,2015-11-06T23:39:00.000,awake,300,2015-11-06 23:39:00,2015-11-06 23:44:00
284,2015-11-06T23:44:00.000,restless,60,2015-11-06 23:44:00,2015-11-06 23:45:00
285,2015-11-06T23:45:00.000,asleep,1860,2015-11-06 23:45:00,2015-11-07 00:16:00
